# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -b 2048 -M -d -v /dev/sr0 image.iso image.log
# Start time:   2015-10-29 09:44:54
# Current time: 2015-10-29 11:28:20
# Trimming failed blocks... (forwards)
# current_pos  current_status
0x6A311800     *
#      pos        size  status
0x693BD800  0x00000800  +
0x693BE000  0x00000800  -
0x693BE800  0x00000800  +
0x693BF000  0x00000800  -
0x693BF800  0x00055000  +
0x69414800  0x00000800  -
0x69415000  0x00000800  +
0x69415800  0x00000800  -
0x69416000  0x00000800  +
0x69416800  0x00000800  -
0x69417000  0x00000800  +
0x69417800  0x00000800  -
0x69418000  0x00010800  +
0x69428800  0x00000800  -
0x69429000  0x00000800  +
0x69429800  0x00000800  -
0x6942A000  0x00000800  +
0x6942A800  0x00000800  -
0x6942B000  0x00000800  +
0x6942B800  0x00000800  -
0x6942C000  0x00000800  +
0x6942C800  0x00000800  -
0x6942D000  0x00000800  +
0x6942D800  0x00000800  -
0x6942E000  0x00000800  +
0x6942E800  0x00000800  -
0x6942F000  0x00000800  +
0x6942F800  0x00000800  -
0x69430000  0x00010800  +
0x69440800  0x00000800  -
0x69441000  0x00000800  +
0x69441800  0x00000800  -
0x69442000  0x00000800  +
0x69442800  0x00000800  -
0x69443000  0x00000800  +
0x69443800  0x00000800  -
0x69444000  0x00000800  +
0x69444800  0x00000800  -
0x69445000  0x00000800  +
0x69445800  0x00000800  -
0x69446000  0x00000800  +
0x69446800  0x00000800  -
0x69447000  0x00000800  +
0x69447800  0x00000800  -
0x69448000  0x00040800  +
0x69488800  0x00000800  -
0x69489000  0x00000800  +
0x69489800  0x00000800  -
0x6948A000  0x00000800  +
0x6948A800  0x00000800  -
0x6948B000  0x00000800  +
0x6948B800  0x00000800  -
0x6948C000  0x00000800  +
0x6948C800  0x00000800  -
0x6948D000  0x00000800  +
0x6948D800  0x00000800  -
0x6948E000  0x00000800  +
0x6948E800  0x00000800  -
0x6948F000  0x00000800  +
0x6948F800  0x00000800  -
0x69490000  0x00010800  +
0x694A0800  0x00000800  -
0x694A1000  0x00000800  +
0x694A1800  0x00000800  -
0x694A2000  0x00000800  +
0x694A2800  0x00000800  -
0x694A3000  0x00000800  +
0x694A3800  0x00000800  -
0x694A4000  0x00000800  +
0x694A4800  0x00000800  -
0x694A5000  0x00000800  +
0x694A5800  0x00000800  -
0x694A6000  0x00000800  +
0x694A6800  0x00000800  -
0x694A7000  0x00000800  +
0x694A7800  0x00000800  -
0x694A8000  0x00020800  +
0x694C8800  0x00000800  -
0x694C9000  0x00000800  +
0x694C9800  0x00000800  -
0x694CA000  0x00000800  +
0x694CA800  0x00000800  -
0x694CB000  0x00000800  +
0x694CB800  0x00000800  -
0x694CC000  0x00000800  +
0x694CC800  0x00000800  -
0x694CD000  0x00000800  +
0x694CD800  0x00000800  -
0x694CE000  0x00000800  +
0x694CE800  0x00000800  -
0x694CF000  0x00000800  +
0x694CF800  0x00000800  -
0x694D0000  0x00010800  +
0x694E0800  0x00000800  -
0x694E1000  0x00000800  +
0x694E1800  0x00000800  -
0x694E2000  0x00000800  +
0x694E2800  0x00000800  -
0x694E3000  0x00000800  +
0x694E3800  0x00000800  -
0x694E4000  0x00000800  +
0x694E4800  0x00000800  -
0x694E5000  0x00000800  +
0x694E5800  0x00000800  -
0x694E6000  0x00000800  +
0x694E6800  0x00000800  -
0x694E7000  0x00000800  +
0x694E7800  0x00000800  -
0x694E8000  0x00010800  +
0x694F8800  0x00000800  -
0x694F9000  0x00000800  +
0x694F9800  0x00000800  -
0x694FA000  0x00000800  +
0x694FA800  0x00000800  -
0x694FB000  0x00000800  +
0x694FB800  0x00000800  -
0x694FC000  0x00000800  +
0x694FC800  0x00000800  -
0x694FD000  0x00000800  +
0x694FD800  0x00000800  -
0x694FE000  0x00000800  +
