# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -b 2048 -d -v /dev/sr0 image.iso image.log
# Start time:   2015-10-15 10:34:38
# Current time: 2015-10-15 11:43:51
# Scraping failed blocks... (forwards)
# current_pos  current_status
0xEAFDD000     /
#      pos        size  status
0x681FE000  0x00000800  -
0x681FE800  0x00000800  +
0x681FF000  0x00000800  -
0x681FF800  0x00000800  +
0x68200000  0x00000800  -
0x68200800  0x00000800  +
0x68201000  0x00000800  -
0x68201800  0x00000800  +
0x68202000  0x00000800  -
0x68202800  0x00000800  +
0x68203000  0x00000800  -
0x68203800  0x00000800  +
0x68204000  0x00000800  -
0x68204800  0x00000800  +
0x68205000  0x00000800  -
0x68205800  0x00000800  +
0x68206000  0x00000800  -
0x68206800  0x00000800  +
0x68207000  0x00000800  -
0x68207800  0x00000800  +
0x68208000  0x00008000  -
0x68210000  0x00008000  +
0x68218000  0x00008800  -
0x68220800  0x00000800  +
0x68221000  0x00000800  -
0x68221800  0x00000800  +
0x68222000  0x00000800  -
0x68222800  0x00000800  +
0x68223000  0x00000800  -
0x68223800  0x00000800  +
0x68224000  0x00000800  -
0x68224800  0x00000800  +
0x68225000  0x00000800  -
0x68225800  0x00000800  +
0x68226000  0x00000800  -
0x68226800  0x00000800  +
0x68227000  0x00000800  -
0x68227800  0x00000800  +
0x68228000  0x00000800  -
0x68228800  0x00000800  +
0x68229000  0x00000800  -
0x68229800  0x00000800  +
0x6822A000  0x00000800  -
0x6822A800  0x00000800  +
0x6822B000  0x00000800  -
0x6822B800  0x00000800  +
0x6822C000  0x00000800  -
0x6822C800  0x00000800  +
0x6822D000  0x00000800  -
0x6822D800  0x00000800  +
0x6822E000  0x00000800  -
0x6822E800  0x00000800  +
0x6822F000  0x00000800  -
0x6822F800  0x00000800  +
0x68230000  0x00008000  -
0x68238000  0x00010000  +
0x68248000  0x00008800  -
0x68250800  0x00000800  +
0x68251000  0x00000800  -
0x68251800  0x00000800  +
0x68252000  0x00000800  -
0x68252800  0x00000800  +
0x68253000  0x00000800  -
0x68253800  0x00000800  +
0x68254000  0x00000800  -
0x68254800  0x00000800  +
0x68255000  0x00000800  -
0x68255800  0x00000800  +
0x68256000  0x00000800  -
0x68256800  0x00000800  +
0x68257000  0x00000800  -
0x68257800  0x00000800  +
0x68258000  0x00000800  -
0x68258800  0x00000800  +
0x68259000  0x00000800  -
0x68259800  0x00000800  +
0x6825A000  0x00000800  -
0x6825A800  0x00000800  +
0x6825B000  0x00000800  -
0x6825B800  0x00000800  +
0x6825C000  0x00000800  -
0x6825C800  0x00000800  +
0x6825D000  0x00000800  -
0x6825D800  0x00000800  +
0x6825E000  0x00000800  -
0x6825E800  0x00000800  +
0x6825F000  0x00000800  -
0x6825F800  0x00000800  +
0x68260000  0x00008800  -
0x68268800  0x00000800  +
0x68269000  0x00000800  -
0x68269800  0x00000800  +
0x6826A000  0x00000800  -
0x6826A800  0x00000800  +
0x6826B000  0x00000800  -
0x6826B800  0x00000800  +
0x6826C000  0x00000800  -
0x6826C800  0x00000800  +
0x6826D000  0x00000800  -
0x6826D800  0x00000800  +
0x6826E000  0x00000800  -
0x6826E800  0x00000800  +
0x6826F000  0x00000800  -
0x6826F800  0x00000800  +
0x68270000  0x00000800  -
0x68270800  0x00000800  +
0x68271000  0x00000800  -
0x68271800  0x00000800  +
0x68272000  0x00000800  -
0x68272800  0x00000800  +
0x68273000  0x00000800  -
0x68273800  0x00000800  +
0x68274000  0x00000800  -
0x68274800  0x00000800  +
0x68275000  0x00000800  -
0x68275800  0x00000800  +
0x68276000  0x00000800  -
0x68276800  0x00000800  +
0x68277000  0x00000800  -
0x68277800  0x00000800  +
0x68278000  0x00008800  -
0x68280800  0x00000800  +
0x68281000  0x00000800  -
0x68281800  0x00000800  +
0x68282000  0x00000800  -
0x68282800  0x00000800  +
0x68283000  0x00000800  -
0x68283800  0x00000800  +
0x68284000  0x00000800  -
0x68284800  0x00000800  +
0x68285000  0x00000800  -
0x68285800  0x00000800  +
0x68286000  0x00000800  -
0x68286800  0x00000800  +
0x68287000  0x00000800  -
0x68287800  0x00000800  +
0x68288000  0x00000800  -
0x68288800  0x00000800  +
0x68289000  0x00000800  -
0x68289800  0x00000800  +
0x6828A000  0x00000800  -
0x6828A800  0x00005800  +
0x68290000  0x00008000  -
0x68298000  0x0000C000  +
0x682A4000  0x00000800  -
0x682A4800  0x00000800  +
0x682A5000  0x00000800  -
0x682A5800  0x00000800  +
0x682A6000  0x00000800  -
0x682A6800  0x00000800  +
0x682A7000  0x00000800  -
0x682A7800  0x00000800  +
0x682A8000  0x00008800  -
0x682B0800  0x00000800  +
0x682B1000  0x00000800  -
0x682B1800  0x00000800  +
0x682B2000  0x00000800  -
0x682B2800  0x00000800  +
0x682B3000  0x00000800  -
0x682B3800  0x00000800  +
0x682B4000  0x00000800  -
0x682B4800  0x00000800  +
0x682B5000  0x00000800  -
0x682B5800  0x00000800  +
0x682B6000  0x00000800  -
0x682B6800  0x00000800  +
0x682B7000  0x00000800  -
0x682B7800  0x00000800  +
0x682B8000  0x00008800  -
0x682C0800  0x00000800  +
0x682C1000  0x00000800  -
0x682C1800  0x00000800  +
0x682C2000  0x00000800  -
0x682C2800  0x00000800  +
0x682C3000  0x00000800  -
0x682C3800  0x00000800  +
0x682C4000  0x00000800  -
0x682C4800  0x00000800  +
0x682C5000  0x00000800  -
0x682C5800  0x00000800  +
0x682C6000  0x00000800  -
0x682C6800  0x00000800  +
0x682C7000  0x00000800  -
0x682C7800  0x00000800  +
0x682C8000  0x00000800  -
0x682C8800  0x00000800  +
0x682C9000  0x00000800  -
0x682C9800  0x00000800  +
0x682CA000  0x00000800  -
0x682CA800  0x00000800  +
0x682CB000  0x00000800  -
0x682CB800  0x00000800  +
0x682CC000  0x00000800  -
0x682CC800  0x00000800  +
0x682CD000  0x00000800  -
0x682CD800  0x00000800  +
0x682CE000  0x00000800  -
0x682CE800  0x00000800  +
0x682CF000  0x00000800  -
0x682CF800  0x00000800  +
0x682D0000  0x00008800  -
0x682D8800  0x00000800  +
0x682D9000  0x00000800  -
0x682D9800  0x00000800  +
0x682DA000  0x00000800  -
0x682DA800  0x00000800  +
0x682DB000  0x00000800  -
0x682DB800  0x00000800  +
0x682DC000  0x00000800  -
0x682DC800  0x00000800  +
0x682DD000  0x00000800  -
0x682DD800  0x00000800  +
0x682DE000  0x00000800  -
0x682DE800  0x00000800  +
0x682DF000  0x00000800  -
0x682DF800  0x00000800  +
0x682E0000  0x00000800  -
0x682E0800  0x00000800  +
0x682E1000  0x00000800  -
0x682E1800  0x00000800  +
0x682E2000  0x00000800  -
0x682E2800  0x00000800  +
0x682E3000  0x00000800  -
0x682E3800  0x00000800  +
0x682E4000  0x00000800  -
0x682E4800  0x00000800  +
0x682E5000  0x00000800  -
0x682E5800  0x00000800  +
0x682E6000  0x00000800  -
0x682E6800  0x00000800  +
0x682E7000  0x00000800  -
0x682E7800  0x00000800  +
0x682E8000  0x00008000  -
0x682F0000  0x00010000  +
0x68300000  0x00008800  -
0x68308800  0x00000800  +
0x68309000  0x00000800  -
0x68309800  0x00000800  +
0x6830A000  0x00000800  -
